10:50:09:684	b6830	buf: {"params":["000000176c0fa3e9","b3f21f8d870fe3fa7fcbb0892c738f896b9b88a446808a990000016e00000000","06fc42af4736da0f7c4a58c269a1ae4ee009f66b29bde68d876afbfc2c322f6c25c722896c8b0454fee0a92eb8b8b298115856e2c8e58334dbc321fd408a6d890100b7a6038aea86050001008da300002180011a5247b9ad010000001c48020077190000c23f635900000000","04000000",[],"04000000","1a018021","59633fc2",true],"id":null,"method":"mining.notify"}

10:50:09:684	b6830	parse packet: 404
10:50:09:685	b6830	new buf size: 0
10:50:09:685	b6830	 DCR: 07/10/17-10:50:09 - New job from decred.eu.nicehash.com:3354
10:50:09:685	b6830	target: 0x000000003fffc000 (diff: 17GH), block #149532
10:50:10:254	b99f0	ETH: checking pool connection...
10:50:10:254	b99f0	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

10:50:10:632	b99f0	got 248 bytes
10:50:10:632	b99f0	buf: {"id":3,"jsonrpc":"2.0","result":["0x3020bcfb4398808ddc85f6158e6d5dda50503c52433f7bad72056091cf52d888","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d11ff"]}

10:50:10:632	b99f0	parse packet: 247
10:50:10:633	b99f0	ETH: job is the same
10:50:10:633	b99f0	new buf size: 0
10:50:15:346	b6d00	GPU0 t=57C fan=52%
10:50:15:347	b6d00	em hbt: 0, dm hbt: 0, fm hbt: 79, 
10:50:15:347	b6d00	watchdog - thread 0 (gpu0), hb time 32
10:50:15:347	b6d00	watchdog - thread 1 (gpu0), hb time 140
10:50:20:223	b99f0	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x1c002c5", "0x00000000000000000000000000000000000000000000000000000000f7b26846"]}

10:50:20:270	b99f0	ETH: checking pool connection...
10:50:20:270	b99f0	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

10:50:20:294	b99f0	got 39 bytes
10:50:20:294	b99f0	buf: {"id":6,"jsonrpc":"2.0","result":true}

10:50:20:295	b99f0	parse packet: 38
10:50:20:295	b99f0	new buf size: 0
10:50:20:353	b99f0	got 248 bytes
10:50:20:353	b99f0	buf: {"id":3,"jsonrpc":"2.0","result":["0x3020bcfb4398808ddc85f6158e6d5dda50503c52433f7bad72056091cf52d888","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d11ff"]}

10:50:20:353	b99f0	parse packet: 247
10:50:20:353	b99f0	ETH: job is the same
10:50:20:353	b99f0	new buf size: 0
10:50:28:324	b99f0	got 248 bytes
10:50:28:324	b99f0	buf: {"id":0,"jsonrpc":"2.0","result":["0x0c82520284cb34197157ca30bcc52a3b28495e6b943f56d6230929c4c75f9fd5","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d1200"]}

10:50:28:324	b99f0	parse packet: 247
10:50:28:324	b99f0	ETH: job changed
10:50:28:324	b99f0	new buf size: 0
10:50:28:325	b99f0	ETH: 07/10/17-10:50:28 - New job from eu1.ethermine.org:4444
10:50:28:325	b99f0	target: 0x0000000112e0be82 (diff: 4000MH), epoch 133(2.04GB)
10:50:28:325	b99f0	ETH - Total Speed: 29.361 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
10:50:28:326	b99f0	ETH: GPU0 29.361 Mh/s
10:50:28:327	b99f0	 DCR - Total Speed: 587.216 Mh/s, Total Shares: 0, Rejected: 0
10:50:28:327	b99f0	 DCR: GPU0 587.216 Mh/s
10:50:30:286	b99f0	ETH: checking pool connection...
10:50:30:286	b99f0	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

10:50:30:358	b99f0	got 248 bytes
10:50:30:358	b99f0	buf: {"id":3,"jsonrpc":"2.0","result":["0x0c82520284cb34197157ca30bcc52a3b28495e6b943f56d6230929c4c75f9fd5","0x9e9724706b96cf93985fa8f097f4c1a687ebc3c5fc93d50a68d8e51211a723e0","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x3d1200"]}

10:50:30:358	b99f0	parse packet: 247
10:50:30:358	b99f0	ETH: job is the same
10:50:30:358	b99f0	new buf size: 0
10:50:35:703	b6830	got 405 bytes
